name,affiliation,email_domain,interests,citedby,scholar_id
Thomas JR Hughes,"Peter O'Donnell Jr. Chair in Computational and Applied Mathematics, University of Texas at …",@ices.utexas.edu,"['Finite Element Methods', 'Solid Mechanics', 'Computational Fluid Dynamics', 'Partial Differential Equations', 'Isogeometric Analysis']",133575,6tPdlYAAAAAJ
Parviz Moin,Stanford University,@stanford.edu,"['Turbulent flows', 'Fluid Mechanics', 'Turbulence', 'Computational Fluid Dynamics']",84537,X-t_mggAAAAJ
Alfio Quarteroni,"Professor of Mathematics, Politecnico di Milano, Milan, Italy and EPFL, Lausanne …",@polimi.it,"['Applied Mathematics', 'Mathematical Modeling', 'Scientific Computing', 'Computational Fluid Dynamics']",53582,U-iDlKcAAAAJ
Brandon Allen,MIT,@mit.edu,"['experimental particle physics', 'computational fluid dynamics']",47042,MAyZ5y0AAAAJ
Antonio Marquina,"Professor Applied Mathematics, University of Valencia, Universitat de Valencia",@uv.es,"['Computational Fluid Dynamics', 'Variational models for signal processing', 'Computational methods for data analysis']",42886,id3NL1oAAAAJ
Yen-Sen Chen,National Space Organization,@narlabs.org.tw,"['Launch Vehicle', 'Aerospace Propulsion', 'Computational Fluid Dynamics', 'Turbulence Modeling', 'Hypersonic Flows']",40549,yZyGqEIAAAAJ
Wolfgang Rodi,"Professor, Karlsruhe Institute of Technology",@kit.edu,"['Computational Fluid Dynamics', 'Turbulence Modeling', 'Environmental Flows']",39854,q5kJe_4AAAAJ
Shiyi Chen,"Professor, College of Engineering, Southern University of Science and Technology",@sustech.edu.cn,"['fluid mechanics', 'turbulence', 'Computational fluid dynamics', 'lattice Boltzmann']",38958,G4cgJtgAAAAJ
Christopher S. Bretherton,"Professor, University of Washington",@atmos.washington.edu,"['climate modeling', 'computational fluid dynamics', 'atmospheric science', 'geophysical fluid dynamics', 'meterology']",38654,dGxT7WcAAAAJ
Iñigo J. Losada,"Professor of Civil Engineering,  “IHCantabria”, Universidad de Cantabria",@unican.es,"['Coastal Engineering', 'Ocean Engineering', 'Climate Change', 'Marine Renewables', 'Civil Engineering']",30987,9EtVi2wAAAAJ
Paul Thompson,University of Aberdeen,@abdn.ac.uk,"['Marine Mammal & Seabird Ecology', 'Conservation Biology', 'Marine Renewables']",16152,sGiWwBIAAAAJ
Barbara Zanuttigh,Associate Professor of Hydraulic Engineering - University of Bologna,@unibo.it,"['Coastal Engineering', 'Marine Renewables']",4736,ZDG129YAAAAJ
Beth Scott,"Professor, Marine Ecology Aberdeen University",@abdn.ac.uk,"['oceanography', 'fisheries', 'marine renewables', 'seabirds']",4335,YRDTjWwAAAAJ
Philip A. Gillibrand,Mowi Scotland Ltd,@mowi.com,"['Coastal physical oceanography', 'Modelling environmental effects of …', 'Marine renewables']",2438,IfvmQDYAAAAJ
Claes Eskilsson,"Department of the Built Environment, Aalborg University",@build.aau.dk,"['Marine hydrodynamics', 'Water waves', 'Mooring', 'Marine renewables', 'Numerical methods']",2076,DoBavEgAAAAJ
Alastair Lyndon,"Senior Lecturer in Marine Biology, Centre for Marine Biodiversity & Biotechnology, Heriot …",@hw.ac.uk,"['fish biology', 'parasitology', 'fish & shellfish diseases', 'fish vaccines', 'marine renewables']",1930,0EG3NjsAAAAJ
Stephan C Kramer,"Dept. Earth Science and Engineering, Imperial College London",@imperial.ac.uk,"['Computational Fluid Dynamics', 'Oceanography', 'Marine Renewables', 'Geodynamics']",1905,ELR8CUYAAAAJ
Stephen Nash,"College of Engineering & Informatics, National University of Ireland Galway, Ireland",@nuigalway.ie,"['marine modelling', 'water quality', 'hydroinformatics', 'oceanography', 'marine renewables']",1351,gpIGd-sAAAAJ
Ross McAdam,"Associate Professor, University of Oxford",@eng.ox.ac.uk,"['Marine Renewables', 'foundation design', 'structural monitoring']",1271,00uDwsgAAAAJ
Nan Jiang,Tianjin University,@ntu.edu.sg,"['Turbulence', 'Flow control', 'Experimental Fluid Mechanics', 'Tomographic PIV']",14948,ObuNytsAAAAJ
Claus-Dieter Ohl,"Otto-von-Guericke University, Magdeburg",@ovgu.de,"['experimental fluid mechanics', 'cavitation', 'acoustics']",9387,g8LFI-EAAAAJ
John O. Dabiri,"Centennial Professor, California Institute of Technology",@caltech.edu,"['Experimental fluid mechanics', 'Biological fluid dynamics', 'Ocean science', 'Wind energy']",8922,7vAW7G4AAAAJ
Michael P. Schultz,"Professor, Naval Arch. & Ocean Eng. Dept., US Naval Academy",@usna.edu,"['Turbulence', 'Experimental Fluid Mechanics', 'Experimental Fluid Dynamics', 'Biofouling', 'Ocean Engineering']",8781,_Nhf4R8AAAAJ
Pavlos P Vlachos,"School of Mechanical Engineering, Purdue University",@purdue.edu,"['Particle Image Velocimetry', 'experimental fluid mechanics', 'experimental fluid dynamics', 'Cardiovascular Fluid Mechanics', 'Biofluids']",6572,ALkvIHUAAAAJ
Bharathram Ganapathisubramani,"Aerodynamics and Flight Mechanics Group, University of Southampton",@soton.ac.uk,['Experimental fluid mechanics'],6186,42hY9EwAAAAJ
Kenneth T. Christensen,"Interim Provost & Senior VP for Academic Affairs, Illinois Institute of Technology",@iit.edu,"['Experimental fluid dynamics', 'experimental fluid mechanics', 'turbulence', 'environmental flows', 'particle image velocimetry']",6153,LCMdPKcAAAAJ
Farrukh Alvi,"Prof of Mechanical Engineering, Assoc. Dean for Research & Graduate Studies, FAMU-FSU …",@fsu.edu,"['experimental fluid mechanics', 'aerodynamics', 'flow control', 'noise control', 'flow visua']",5307,NyWZBpAAAAAJ
Ramis Örlü,Researcher/Docent at KTH Royal Institute of Technology,@mech.kth.se,"['Turbulence', 'experimental fluid mechanics', 'flow control', 'measurement techniques', 'experimental aerodynamics']",5270,FuNFixMAAAAJ
Kendra V. Sharp,Oregon State University,@oregonstate.edu,"['experimental fluid mechanics', 'sustainable energy for the developing world', 'hydropower', 'microfluidics for biological and energy a']",5022,6aBsUC8AAAAJ
Iñigo J. Losada,"Professor of Civil Engineering,  “IHCantabria”, Universidad de Cantabria",@unican.es,"['Coastal Engineering', 'Ocean Engineering', 'Climate Change', 'Marine Renewables', 'Civil Engineering']",30987,9EtVi2wAAAAJ
Dick KP Yue,MIT,@mit.edu,"['Wave hydrodynamics', 'ocean fluid mechanics', 'naval architecture', 'ocean engineering']",13439,cyJkf_YAAAAJ
Ian R Young,University of Melbourne,@unimelb.edu.au,"['Coastal Engineering', 'Ocean Engineering', 'Physical Oceanography']",11583,6KBL2woAAAAJ
Nicholas M. Patrikalakis,"Massachusetts Institute of Technology, Department of Mechanical Engineering",@mit.edu,"['Geometric & Solid Modeling', 'Visualization', 'Robotics', 'Design', 'Ocean Engineering']",9129,cAaRCiUAAAAJ
Vasily Titov,NOAA,@noaa.gov,"['numerical modeling', 'natural hazards', 'oceanography', 'ocean engineering', 'tsunami']",8814,dMw4D5kAAAAJ
Michael P. Schultz,"Professor, Naval Arch. & Ocean Eng. Dept., US Naval Academy",@usna.edu,"['Turbulence', 'Experimental Fluid Mechanics', 'Experimental Fluid Dynamics', 'Biofouling', 'Ocean Engineering']",8781,_Nhf4R8AAAAJ
RAUL MEDINA,universidad de cantabria,@unican.es,['ocean engineering'],8482,p2wbqsUAAAAJ
Hitoshi Gotoh,Kyoto University,@particle.kuciv.kyoto-u.ac.jp,"['coastal engineering', 'ocean engineering', 'computational fluid dynamics', 'particle methods', 'SPH']",8044,4HS8gpIAAAAJ
